text,condition,img_name,group_id,prompt_type,response_type,response,model_name,version,num_params
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,afforded_image,laptopcomputer_natural.jpeg,1,explicit,cosine_similarity,0.09579309821128845,flava-full,natural,241356289
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,non-afforded_image,papernapkin_natural.jpeg,1,explicit,cosine_similarity,0.17340438067913055,flava-full,natural,241356289
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,related_image,huntingrifle_natural.jpeg,1,explicit,cosine_similarity,0.16190747916698456,flava-full,natural,241356289
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,afforded_image,pen_natural.jpeg,2,explicit,cosine_similarity,0.10378842800855637,flava-full,natural,241356289
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,non-afforded_image,nickel_natural.jpeg,2,explicit,cosine_similarity,-0.008404165506362915,flava-full,natural,241356289
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,related_image,string_natural.jpeg,2,explicit,cosine_similarity,0.1315641701221466,flava-full,natural,241356289
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,afforded_image,floppydisks_natural.jpeg,3,explicit,cosine_similarity,0.0709906592965126,flava-full,natural,241356289
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,non-afforded_image,pencils_natural.jpeg,3,explicit,cosine_similarity,0.1334787905216217,flava-full,natural,241356289
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,related_image,oldmagazines_natural.jpeg,3,explicit,cosine_similarity,0.0649271309375763,flava-full,natural,241356289
"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",afforded_image,newspaper_natural.jpeg,4,explicit,cosine_similarity,0.05350417271256447,flava-full,natural,241356289
"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",non-afforded_image,matchbook_natural.jpeg,4,explicit,cosine_similarity,-0.0010766680352389812,flava-full,natural,241356289
"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",related_image,skimask_natural.jpeg,4,explicit,cosine_similarity,0.15276490151882172,flava-full,natural,241356289
"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",afforded_image,clothesdryer_natural.jpeg,5,explicit,cosine_similarity,0.11363957077264786,flava-full,natural,241356289
"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",non-afforded_image,cookiejar_natural.jpeg,5,explicit,cosine_similarity,0.10444308817386627,flava-full,natural,241356289
"David was playing hide and seek with his son, Duncan. Where can Duncan hide?",related_image,broomcloset_natural.jpeg,5,explicit,cosine_similarity,0.15125301480293274,flava-full,natural,241356289
"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. What can Bill stand on instead?",afforded_image,tractor_natural.jpeg,6,explicit,cosine_similarity,0.079780712723732,flava-full,natural,241356289
"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. What can Bill stand on instead?",non-afforded_image,hammer_natural.jpeg,6,explicit,cosine_similarity,0.1013820469379425,flava-full,natural,241356289
"Bill was painting his barn. Part of the wall was too high to reach without a ladder, but he'd lent his ladder to a neighbor. What can Bill stand on instead?",related_image,chair_natural.jpeg,6,explicit,cosine_similarity,0.04732605814933777,flava-full,natural,241356289
"Phil was trying to get a barbecue going. He tried blowing on the coals, but they still weren't burning well. What can Phil use to fan the fire?",afforded_image,map_natural.jpeg,7,explicit,cosine_similarity,-0.0009103771299123764,flava-full,natural,241356289
"Phil was trying to get a barbecue going. He tried blowing on the coals, but they still weren't burning well. What can Phil use to fan the fire?",non-afforded_image,rock_natural.jpeg,7,explicit,cosine_similarity,0.07983878999948502,flava-full,natural,241356289
"Phil was trying to get a barbecue going. He tried blowing on the coals, but they still weren't burning well. What can Phil use to fan the fire?",related_image,bellows_natural.jpeg,7,explicit,cosine_similarity,0.11768067628145218,flava-full,natural,241356289
"Peggy was babysitting her infant nephew. He was being fussy, but she had few toys to occupy him. What can Peggy give her infant nephew to play with?",afforded_image,plasticspoon_natural.jpeg,8,explicit,cosine_similarity,0.10958702862262726,flava-full,natural,241356289
"Peggy was babysitting her infant nephew. He was being fussy, but she had few toys to occupy him. What can Peggy give her infant nephew to play with?",non-afforded_image,largerefrigerator_natural.jpeg,8,explicit,cosine_similarity,0.026783723384141922,flava-full,natural,241356289
"Peggy was babysitting her infant nephew. He was being fussy, but she had few toys to occupy him. What can Peggy give her infant nephew to play with?",related_image,redbeanbag_natural.jpeg,8,explicit,cosine_similarity,0.04954817146062851,flava-full,natural,241356289
"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. What can Joe use as a coat rack?",afforded_image,vacuumcleaner_natural.jpeg,9,explicit,cosine_similarity,0.11222682893276215,flava-full,natural,241356289
"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. What can Joe use as a coat rack?",non-afforded_image,electricoutlet_natural.jpeg,9,explicit,cosine_similarity,0.10447454452514648,flava-full,natural,241356289
"Joe's roommates had taken all of the space in the closet, and there was no place to hang his coat. What can Joe use as a coat rack?",related_image,doorknob_natural.jpeg,9,explicit,cosine_similarity,0.09940696507692337,flava-full,natural,241356289
"Jonathan opened up his car's trunk, but the ice scraper wasn't there. What can Jonathan use to chisel an inch of ice off his windshield?",afforded_image,seveniron_natural.jpeg,10,explicit,cosine_similarity,0.028780322521924973,flava-full,natural,241356289
"Jonathan opened up his car's trunk, but the ice scraper wasn't there. What can Jonathan use to chisel an inch of ice off his windshield?",non-afforded_image,hamsandwich_natural.jpeg,10,explicit,cosine_similarity,-0.07010193914175034,flava-full,natural,241356289
"Jonathan opened up his car's trunk, but the ice scraper wasn't there. What can Jonathan use to chisel an inch of ice off his windshield?",related_image,screwdriver_natural.jpeg,10,explicit,cosine_similarity,0.13514427840709686,flava-full,natural,241356289
"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. What can Sarah use to smooth her skirt?",afforded_image,warmthermos_natural.jpeg,11,explicit,cosine_similarity,0.08630447089672089,flava-full,natural,241356289
"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. What can Sarah use to smooth her skirt?",non-afforded_image,hairpin_natural.jpeg,11,explicit,cosine_similarity,0.015457887202501297,flava-full,natural,241356289
"After taking a shower at the gym, Sarah discovered that her skirt needed to be pressed free of wrinkles before she returned to work. What can Sarah use to smooth her skirt?",related_image,hairdryer_natural.jpeg,11,explicit,cosine_similarity,0.06261852383613586,flava-full,natural,241356289
"At work, Aaron realized that he forgot his cap. The rule was that if your hair isn't covered, you cannot work. What can Aaron use to cover his hair?",afforded_image,sandwichwrapper_natural.jpeg,12,explicit,cosine_similarity,0.12945638597011566,flava-full,natural,241356289
"At work, Aaron realized that he forgot his cap. The rule was that if your hair isn't covered, you cannot work. What can Aaron use to cover his hair?",non-afforded_image,hamburgerbun_natural.png,12,explicit,cosine_similarity,0.08972615003585815,flava-full,natural,241356289
"At work, Aaron realized that he forgot his cap. The rule was that if your hair isn't covered, you cannot work. What can Aaron use to cover his hair?",related_image,showercap_natural.jpeg,12,explicit,cosine_similarity,0.11193791031837463,flava-full,natural,241356289
Marissa forgot to bring her pillow on her camping trip. What can Marissa use as a pillow?,afforded_image,leaves_natural.jpeg,13,explicit,cosine_similarity,0.0060425568372011185,flava-full,natural,241356289
