text,condition,img_name,group_id,prompt_type,response_type,response,model_name,version,num_params
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,afforded_image,laptopcomputer_natural.jpeg,1,explicit,cosine_similarity,0.15995709598064423,clip-vit-base-patch32,natural,151277313
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,non-afforded_image,papernapkin_natural.jpeg,1,explicit,cosine_similarity,0.2049211710691452,clip-vit-base-patch32,natural,151277313
Brad was sitting in his office when an intruder threatened him with a knife. What can Brad use to protect himself?,related_image,huntingrifle_natural.jpeg,1,explicit,cosine_similarity,0.20415382087230682,clip-vit-base-patch32,natural,151277313
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,afforded_image,pen_natural.jpeg,2,explicit,cosine_similarity,0.20853057503700256,clip-vit-base-patch32,natural,151277313
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,non-afforded_image,nickel_natural.jpeg,2,explicit,cosine_similarity,0.20725132524967194,clip-vit-base-patch32,natural,151277313
Jenny was hiking in the woods. She left her friend Adam a note explaining that she would mark her choice of direction at each intersection. What can Jenny use to point her path?,related_image,string_natural.jpeg,2,explicit,cosine_similarity,0.2228032648563385,clip-vit-base-patch32,natural,151277313
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,afforded_image,floppydisks_natural.jpeg,3,explicit,cosine_similarity,0.17939823865890503,clip-vit-base-patch32,natural,151277313
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,non-afforded_image,pencils_natural.jpeg,3,explicit,cosine_similarity,0.19623999297618866,clip-vit-base-patch32,natural,151277313
Art was having a party. He realized he didn't have enough coasters to protect the tables from condensation dripping off the glasses. What can Art use to protect his table?,related_image,oldmagazines_natural.jpeg,3,explicit,cosine_similarity,0.22419607639312744,clip-vit-base-patch32,natural,151277313
"Mike was freezing in the wind. He needed something to cover his face, but he didn't have enough money to buy a scarf. What can Mike use to cover his face?",afforded_image,newspaper_natural.jpeg,4,explicit,cosine_similarity,0.16996127367019653,clip-vit-base-patch32,natural,151277313
